Date	Time	Voltage L1N Min	Voltage L1N Avg	Voltage L1N Max	Voltage NG Min	Voltage NG Avg	Voltage NG Max	Peak Voltage L1N Min	Peak Voltage L1N Avg	Peak Voltage L1N Max	Peak Voltage NG Min	Peak Voltage NG Avg	Peak Voltage NG Max	Voltage Crest Factor L1N Min	Voltage Crest Factor L1N Avg	Voltage Crest Factor L1N Max	Voltage Crest Factor NG Min	Voltage Crest Factor NG Avg	Voltage Crest Factor NG Max	Current L1 Min	Current L1 Avg	Current L1 Max	Current N Min	Current N Avg	Current N Max	Peak Current L1 Min	Peak Current L1 Avg	Peak Current L1 Max	Peak Current N Min	Peak Current N Avg	Peak Current N Max	Current Crest Factor L1 Min	Current Crest Factor L1 Avg	Current Crest Factor L1 Max	Current Crest Factor N Min	Current Crest Factor N Avg	Current Crest Factor N Max	Frequency Min	Frequency Avg	Frequency Max	
18/07/2018	19:09:09.094	4.150	4.160	4.170	.010	.010	.010	7.100	7.100	7.200	.000	.000	.000	1.710	1.710	1.730	327.670	327.670	327.670	.020	.020	.020	.140	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.980	59.980	59.980	
18/07/2018	19:09:10.094	4.170	4.180	4.190	.010	.010	.010	7.100	7.200	7.300	.000	.000	.000	1.700	1.720	1.730	327.670	327.670	327.670	.020	.020	.020	.140	.140	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.980	59.980	59.980	
18/07/2018	19:09:11.094	4.170	4.180	4.180	.010	.010	.010	7.100	7.200	7.400	.000	.000	.000	1.690	1.720	1.760	327.670	327.670	327.670	.020	.020	.020	.140	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.980	59.980	59.980	
18/07/2018	19:09:12.094	4.140	4.170	4.180	.010	.010	.010	7.100	7.100	7.200	.000	.000	.000	1.700	1.710	1.720	327.670	327.670	327.670	.020	.020	.020	.140	.140	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.980	59.980	59.980	
18/07/2018	19:09:13.094	4.150	4.160	4.170	.010	.010	.010	7.100	7.100	7.200	.000	.000	.000	1.700	1.710	1.720	327.670	327.670	327.670	.020	.020	.020	.140	.140	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.980	59.980	59.980	
18/07/2018	19:09:14.094	4.160	4.170	4.170	.010	.010	.010	7.100	7.100	7.200	.000	.000	.000	1.700	1.710	1.730	327.670	327.670	327.670	.020	.020	.020	.140	.140	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.980	59.980	59.980	
18/07/2018	19:09:15.094	3.960	4.090	4.170	.010	.010	.010	6.800	7.100	7.200	.000	.000	.000	1.700	1.730	1.770	327.670	327.670	327.670	.020	.020	.020	.140	.140	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.980	59.980	59.980	
18/07/2018	19:09:16.094	3.970	3.980	3.990	.010	.010	.010	6.800	6.800	6.800	.000	.000	.000	1.700	1.710	1.720	327.670	327.670	327.670	.020	.020	.020	.140	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.980	59.980	59.980	
18/07/2018	19:09:17.094	3.710	3.890	3.990	.010	.010	.010	6.400	6.700	6.900	.000	.000	.000	1.710	1.730	1.780	327.670	327.670	327.670	.020	.020	.020	.140	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.980	59.980	59.981	
18/07/2018	19:09:18.094	3.710	3.720	3.730	.010	.010	.010	6.400	6.500	6.500	.000	.000	.000	1.720	1.740	1.760	327.670	327.670	327.670	.020	.020	.020	.140	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.980	59.980	59.981	
18/07/2018	19:09:19.094	3.670	3.710	3.740	.010	.010	.010	6.400	6.400	6.500	.000	.000	.000	1.710	1.740	1.760	327.670	327.670	327.670	.020	.020	.020	.150	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.981	59.981	59.981	
18/07/2018	19:09:20.094	3.690	3.700	3.710	.010	.010	.010	6.400	6.500	6.500	.000	.000	.000	1.740	1.740	1.750	327.670	327.670	327.670	.020	.020	.020	.140	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.981	59.981	59.981	
18/07/2018	19:09:21.094	3.660	3.690	3.710	.010	.010	.010	6.400	6.500	6.500	.000	.000	.000	1.740	1.750	1.760	327.670	327.670	327.670	.020	.020	.020	.140	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.981	59.982	59.982	
18/07/2018	19:09:22.094	3.660	3.670	3.670	.010	.010	.010	6.300	6.400	6.500	.000	.000	.000	1.720	1.740	1.760	327.670	327.670	327.670	.020	.020	.020	.140	.140	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.982	59.982	59.983	
18/07/2018	19:09:23.094	3.650	3.660	3.670	.010	.010	.010	6.300	6.400	6.400	.000	.000	.000	1.730	1.740	1.750	327.670	327.670	327.670	.020	.020	.020	.140	.140	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.983	59.983	59.983	
18/07/2018	19:09:24.094	3.650	3.650	3.650	.010	.010	.010	6.300	6.300	6.400	.000	.000	.000	1.730	1.730	1.750	327.670	327.670	327.670	.020	.020	.020	.140	.140	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.983	59.984	59.984	
18/07/2018	19:09:25.094	3.590	3.630	3.650	.010	.010	.010	6.300	6.300	6.400	.000	.000	.000	1.720	1.740	1.760	327.670	327.670	327.670	.020	.020	.020	.140	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.984	59.984	59.985	
18/07/2018	19:09:26.094	3.590	3.590	3.590	.010	.010	.010	6.300	6.400	6.600	.000	.000	.000	1.750	1.770	1.830	327.670	327.670	327.670	.020	.020	.020	.140	.140	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.985	59.985	59.986	
18/07/2018	19:09:27.094	3.530	3.570	3.590	.010	.010	.010	6.200	6.300	6.400	.000	.000	.000	1.740	1.770	1.810	327.670	327.670	327.670	.020	.020	.020	.140	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.986	59.986	59.987	
18/07/2018	19:09:28.094	3.530	3.530	3.530	.010	.010	.010	6.200	6.300	6.400	.000	.000	.000	1.770	1.780	1.810	327.670	327.670	327.670	.020	.020	.020	.140	.150	.150	.060	.060	.060	.180	.180	.180	327.670	327.670	327.670	327.670	327.670	327.670	59.987	59.988	59.988	
